OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_AREA,SIDEWALK_WIDTH,HOV,IMPACTED,BLOCK_ID,INTEGRATED_LU,GREEN_BUFFER,Start_X,Start_Y,End_X,End_Y
131,17 AV SE,Yes,0.5000074,1.738342456,3.5,Yes,,1,,,567.2166,5655737.534,566.7168,5655737.52
132,17 AV SE,Yes,0.5000074,1.736248095,3.5,Yes,,1,,,567.7164,5655737.549,567.2166,5655737.534
133,17 AV SE,Yes,0.499942288,1.629302925,3.3,Yes,,1,,,568.2162,5655737.561,567.7164,5655737.549
134,17 AV SE,Yes,0.5000145,1.732523319,3.5,Yes,,1,,,568.7161,5655737.571,568.2162,5655737.561
135,17 AV SE,Yes,0.5000145,1.730697169,3.5,Yes,,1,,,569.216,5655737.582,568.7161,5655737.571
136,17 AV SE,Yes,0.50001237,1.72889401,3.5,Yes,,1,,,569.7159,5655737.593,569.216,5655737.582
137,17 AV SE,Yes,0.5000145,1.727124444,3.5,Yes,,1,,,570.2158,5655737.603,569.7159,5655737.593
138,17 AV SE,Yes,0.500014499,1.725345955,3.5,Yes,,1,,,570.7157,5655737.614,570.2158,5655737.603
139,17 AV SE,Yes,0.499912393,1.72320077,3.4,Yes,,1,,,571.2155,5655737.625,570.7157,5655737.614
140,17 AV SE,Yes,0.5000145,1.721743044,3.4,Yes,,1,,,571.7154,5655737.635,571.2155,5655737.625
141,17 AV SE,Yes,0.5000145,1.7200045,3.4,Yes,,1,,,572.2153,5655737.646,571.7154,5655737.635
142,17 AV SE,Yes,0.50001237,1.71822493,3.4,Yes,,1,,,572.7152,5655737.657,572.2153,5655737.646
143,17 AV SE,Yes,0.500014499,1.716838754,3.4,Yes,,1,,,573.2151,5655737.667,572.7152,5655737.657
144,17 AV SE,Yes,0.5000145,1.715460939,3.4,Yes,,1,,,573.715,5655737.678,573.2151,5655737.667
145,17 AV SE,Yes,0.50001237,1.713790165,3.4,Yes,,1,,,574.2149,5655737.689,573.715,5655737.678
146,17 AV SE,Yes,0.5000145,1.71224284,3.4,Yes,,1,,,574.7148,5655737.699,574.2149,5655737.689
147,17 AV SE,Yes,0.499914522,1.710176835,3.4,Yes,,1,,,575.2146,5655737.71,574.7148,5655737.699
148,17 AV SE,Yes,0.50001237,1.709139389,3.4,Yes,,1,,,575.7145,5655737.721,575.2146,5655737.71
149,17 AV SE,Yes,0.5000145,1.707667306,3.4,Yes,,1,,,576.2144,5655737.731,575.7145,5655737.721
150,17 AV SE,Yes,0.5000145,1.706187131,3.4,Yes,,1,,,576.7143,5655737.742,576.2144,5655737.731
151,17 AV SE,Yes,0.50001237,1.704561561,3.4,Yes,,1,,,577.2142,5655737.753,576.7143,5655737.742
152,17 AV SE,Yes,0.5000145,1.702917752,3.4,Yes,,1,,,577.7141,5655737.763,577.2142,5655737.753
153,17 AV SE,Yes,0.500014499,1.701420655,3.4,Yes,,1,,,578.214,5655737.774,577.7141,5655737.763
154,17 AV SE,Yes,0.499912393,1.699526971,3.4,Yes,,1,,,578.7138,5655737.785,578.214,5655737.774
155,17 AV SE,Yes,0.5000145,1.698319525,3.4,Yes,,1,,,579.2137,5655737.795,578.7138,5655737.785
156,17 AV SE,Yes,0.5000145,1.696794935,3.4,Yes,,1,,,579.7136,5655737.806,579.2137,5655737.795
157,17 AV SE,Yes,0.500012369,1.695410199,3.4,Yes,,1,,,580.2135,5655737.817,579.7136,5655737.806
158,17 AV SE,Yes,0.5000145,1.693862544,3.4,Yes,,1,,,580.7134,5655737.827,580.2135,5655737.817
159,17 AV SE,Yes,0.5000145,1.69235983,3.4,Yes,,1,,,581.2133,5655737.838,580.7134,5655737.827
160,17 AV SE,Yes,0.50001237,1.69067434,3.4,Yes,,1,,,581.7132,5655737.849,581.2133,5655737.838
161,17 AV SE,Yes,0.499914523,1.689403765,3.4,Yes,,1,,,582.213,5655737.859,581.7132,5655737.849
162,17 AV SE,Yes,0.500014499,1.688890666,3.4,Yes,,1,,,582.7129,5655737.87,582.213,5655737.859
163,17 AV SE,Yes,0.50001237,1.688143699,3.4,Yes,,1,,,583.2128,5655737.881,582.7129,5655737.87
164,17 AV SE,Yes,0.5000145,1.687337354,3.4,Yes,,1,,,583.7127,5655737.891,583.2128,5655737.881
165,17 AV SE,Yes,0.5000145,1.686518914,3.4,Yes,,1,,,584.2126,5655737.902,583.7127,5655737.891
166,17 AV SE,Yes,0.50001237,1.685664994,3.4,Yes,,1,,,584.7125,5655737.913,584.2126,5655737.902
167,17 AV SE,Yes,0.500014499,1.684815611,3.4,Yes,,1,,,585.2124,5655737.923,584.7125,5655737.913
168,17 AV SE,Yes,0.499914523,1.683703385,3.4,Yes,,1,,,585.7122,5655737.934,585.2124,5655737.923
169,17 AV SE,Yes,0.50001237,1.683189861,3.4,Yes,,1,,,586.2121,5655737.945,585.7122,5655737.934
170,17 AV SE,Yes,0.5000145,1.682415265,3.4,Yes,,1,,,586.712,5655737.955,586.2121,5655737.945
171,17 AV SE,Yes,0.5000145,1.68171156,3.4,Yes,,1,,,587.2119,5655737.966,586.712,5655737.955
172,17 AV SE,Yes,0.500012369,1.680765005,3.4,Yes,,1,,,587.7118,5655737.977,587.2119,5655737.966
173,17 AV SE,Yes,0.5000145,1.679963526,3.4,Yes,,1,,,588.2117,5655737.987,587.7118,5655737.977
174,17 AV SE,Yes,0.5000145,1.679139315,3.4,Yes,,1,,,588.7116,5655737.998,588.2117,5655737.987
175,17 AV SE,Yes,0.5000145,1.678339269,3.4,Yes,,1,,,589.2115,5655738.009,588.7116,5655737.998
176,17 AV SE,Yes,0.499912392,1.67720289,3.4,Yes,,1,,,589.7113,5655738.019,589.2115,5655738.009
177,17 AV SE,Yes,0.5000145,1.6767127,3.4,Yes,,1,,,590.2112,5655738.03,589.7113,5655738.019
178,17 AV SE,Yes,0.5000145,1.675842471,3.4,Yes,,1,,,590.7111,5655738.041,590.2112,5655738.03
179,17 AV SE,Yes,0.50001237,1.675088701,3.4,Yes,,1,,,591.211,5655738.051,590.7111,5655738.041
180,17 AV SE,Yes,0.5000145,1.674312059,3.3,Yes,,1,,,591.7109,5655738.062,591.211,5655738.051
181,17 AV SE,Yes,0.500014499,1.673487406,3.3,Yes,,1,,,592.2108,5655738.073,591.7109,5655738.062
182,17 AV SE,Yes,0.50001237,1.672638349,3.3,Yes,,1,,,592.7107,5655738.083,592.2108,5655738.073
183,17 AV SE,Yes,0.499914523,1.67150381,3.3,Yes,,1,,,593.2105,5655738.094,592.7107,5655738.083
184,17 AV SE,Yes,0.5000145,1.671007646,3.3,Yes,,1,,,593.7104,5655738.105,593.2105,5655738.094
185,17 AV SE,Yes,0.50001237,1.67021458,3.3,Yes,,1,,,594.2103,5655738.115,593.7104,5655738.105
186,17 AV SE,Yes,0.500014499,1.669387966,3.3,Yes,,1,,,594.7102,5655738.126,594.2103,5655738.115
187,17 AV SE,Yes,0.5000145,1.668707544,3.3,Yes,,1,,,595.2101,5655738.137,594.7102,5655738.126
188,17 AV SE,Yes,0.50001237,1.667785845,3.3,Yes,,1,,,595.71,5655738.147,595.2101,5655738.137
189,17 AV SE,Yes,0.5000145,1.667007209,3.3,Yes,,1,,,596.2099,5655738.158,595.71,5655738.147
190,17 AV SE,Yes,0.499914522,1.66580795,3.3,Yes,,1,,,596.7097,5655738.169,596.2099,5655738.158
191,17 AV SE,Yes,0.50001237,1.665331636,3.3,Yes,,1,,,597.2096,5655738.179,596.7097,5655738.169
